FolioPage,Sequence,Label
urn:cite:hcmid:cb48.126r,251,"Codex Bodmer 48, folio 126, recto"
urn:cite:hcmid:cb48.126r,252,"Codex Bodmer 48, folio 126, verso"
urn:cite:hcmid:cb48.127r,253,"Codex Bodmer 48, folio 127, recto"
urn:cite:hcmid:cb48.127r,254,"Codex Bodmer 48, folio 127, verso"
urn:cite:hcmid:cb48.128r,255,"Codex Bodmer 48, folio 128, recto"
urn:cite:hcmid:cb48.128r,256,"Codex Bodmer 48, folio 128, verso"
urn:cite:hcmid:cb48.129r,257,"Codex Bodmer 48, folio 129, recto"
urn:cite:hcmid:cb48.129r,258,"Codex Bodmer 48, folio 129, verso"
urn:cite:hcmid:cb48.130r,259,"Codex Bodmer 48, folio 130, recto"
urn:cite:hcmid:cb48.130r,260,"Codex Bodmer 48, folio 130, verso"
urn:cite:hcmid:cb48.131r,261,"Codex Bodmer 48, folio 131, recto"
urn:cite:hcmid:cb48.131r,262,"Codex Bodmer 48, folio 131, verso"
urn:cite:hcmid:cb48.132r,263,"Codex Bodmer 48, folio 132, recto"
urn:cite:hcmid:cb48.132r,264,"Codex Bodmer 48, folio 132, verso"
urn:cite:hcmid:cb48.133r,265,"Codex Bodmer 48, folio 133, recto"
urn:cite:hcmid:cb48.133r,266,"Codex Bodmer 48, folio 133, verso"
urn:cite:hcmid:cb48.134r,267,"Codex Bodmer 48, folio 134, recto"
urn:cite:hcmid:cb48.134r,268,"Codex Bodmer 48, folio 134, verso"
urn:cite:hcmid:cb48.135r,269,"Codex Bodmer 48, folio 135, recto"
urn:cite:hcmid:cb48.135r,270,"Codex Bodmer 48, folio 135, verso"
urn:cite:hcmid:cb48.136r,271,"Codex Bodmer 48, folio 136, recto"
urn:cite:hcmid:cb48.136r,272,"Codex Bodmer 48, folio 136, verso"
urn:cite:hcmid:cb48.137r,273,"Codex Bodmer 48, folio 137, recto"
urn:cite:hcmid:cb48.137r,274,"Codex Bodmer 48, folio 137, verso"
urn:cite:hcmid:cb48.138r,275,"Codex Bodmer 48, folio 138, recto"
urn:cite:hcmid:cb48.138r,276,"Codex Bodmer 48, folio 138, verso"
urn:cite:hcmid:cb48.139r,277,"Codex Bodmer 48, folio 139, recto"
urn:cite:hcmid:cb48.139r,278,"Codex Bodmer 48, folio 139, verso"
urn:cite:hcmid:cb48.140r,279,"Codex Bodmer 48, folio 140, recto"
urn:cite:hcmid:cb48.140r,280,"Codex Bodmer 48, folio 140, verso"
urn:cite:hcmid:cb48.141r,281,"Codex Bodmer 48, folio 141, recto"
urn:cite:hcmid:cb48.141r,282,"Codex Bodmer 48, folio 141, verso"
urn:cite:hcmid:cb48.142r,283,"Codex Bodmer 48, folio 142, recto"
urn:cite:hcmid:cb48.142r,284,"Codex Bodmer 48, folio 142, verso"
urn:cite:hcmid:cb48.143r,285,"Codex Bodmer 48, folio 143, recto"
urn:cite:hcmid:cb48.143r,286,"Codex Bodmer 48, folio 143, verso"
urn:cite:hcmid:cb48.144r,287,"Codex Bodmer 48, folio 144, recto"
urn:cite:hcmid:cb48.144r,288,"Codex Bodmer 48, folio 144, verso"
urn:cite:hcmid:cb48.145r,289,"Codex Bodmer 48, folio 145, recto"
urn:cite:hcmid:cb48.145r,290,"Codex Bodmer 48, folio 145, verso"
urn:cite:hcmid:cb48.146r,291,"Codex Bodmer 48, folio 146, recto"
urn:cite:hcmid:cb48.146r,292,"Codex Bodmer 48, folio 146, verso"
urn:cite:hcmid:cb48.147r,293,"Codex Bodmer 48, folio 147, recto"
urn:cite:hcmid:cb48.147r,294,"Codex Bodmer 48, folio 147, verso"
urn:cite:hcmid:cb48.148r,295,"Codex Bodmer 48, folio 148, recto"
urn:cite:hcmid:cb48.148r,296,"Codex Bodmer 48, folio 148, verso"
urn:cite:hcmid:cb48.149r,297,"Codex Bodmer 48, folio 149, recto"
urn:cite:hcmid:cb48.149r,298,"Codex Bodmer 48, folio 149, verso"
urn:cite:hcmid:cb48.150r,299,"Codex Bodmer 48, folio 150, recto"
urn:cite:hcmid:cb48.150r,300,"Codex Bodmer 48, folio 150, verso"
urn:cite:hcmid:cb48.151r,301,"Codex Bodmer 48, folio 151, recto"
urn:cite:hcmid:cb48.151r,302,"Codex Bodmer 48, folio 151, verso"
urn:cite:hcmid:cb48.152r,303,"Codex Bodmer 48, folio 152, recto"
urn:cite:hcmid:cb48.152r,304,"Codex Bodmer 48, folio 152, verso"
urn:cite:hcmid:cb48.153r,305,"Codex Bodmer 48, folio 153, recto"
urn:cite:hcmid:cb48.153r,306,"Codex Bodmer 48, folio 153, verso"
urn:cite:hcmid:cb48.154r,307,"Codex Bodmer 48, folio 154, recto"
urn:cite:hcmid:cb48.154r,308,"Codex Bodmer 48, folio 154, verso"
urn:cite:hcmid:cb48.155r,309,"Codex Bodmer 48, folio 155, recto"
urn:cite:hcmid:cb48.155r,310,"Codex Bodmer 48, folio 155, verso"
urn:cite:hcmid:cb48.156r,311,"Codex Bodmer 48, folio 156, recto"
urn:cite:hcmid:cb48.156r,312,"Codex Bodmer 48, folio 156, verso"
urn:cite:hcmid:cb48.157r,313,"Codex Bodmer 48, folio 157, recto"
urn:cite:hcmid:cb48.157r,314,"Codex Bodmer 48, folio 157, verso"
urn:cite:hcmid:cb48.158r,315,"Codex Bodmer 48, folio 158, recto"
urn:cite:hcmid:cb48.158r,316,"Codex Bodmer 48, folio 158, verso"
urn:cite:hcmid:cb48.159r,317,"Codex Bodmer 48, folio 159, recto"
urn:cite:hcmid:cb48.159r,318,"Codex Bodmer 48, folio 159, verso"
urn:cite:hcmid:cb48.160r,319,"Codex Bodmer 48, folio 160, recto"
urn:cite:hcmid:cb48.160r,320,"Codex Bodmer 48, folio 160, verso"
urn:cite:hcmid:cb48.161r,321,"Codex Bodmer 48, folio 161, recto"
urn:cite:hcmid:cb48.161r,322,"Codex Bodmer 48, folio 161, verso"
urn:cite:hcmid:cb48.162r,323,"Codex Bodmer 48, folio 162, recto"
urn:cite:hcmid:cb48.162r,324,"Codex Bodmer 48, folio 162, verso"
urn:cite:hcmid:cb48.163r,325,"Codex Bodmer 48, folio 163, recto"
urn:cite:hcmid:cb48.163r,326,"Codex Bodmer 48, folio 163, verso"
urn:cite:hcmid:cb48.164r,327,"Codex Bodmer 48, folio 164, recto"
urn:cite:hcmid:cb48.164r,328,"Codex Bodmer 48, folio 164, verso"
urn:cite:hcmid:cb48.165r,329,"Codex Bodmer 48, folio 165, recto"
urn:cite:hcmid:cb48.165r,330,"Codex Bodmer 48, folio 165, verso"
urn:cite:hcmid:cb48.166r,331,"Codex Bodmer 48, folio 166, recto"
urn:cite:hcmid:cb48.166r,332,"Codex Bodmer 48, folio 166, verso"
urn:cite:hcmid:cb48.167r,333,"Codex Bodmer 48, folio 167, recto"
urn:cite:hcmid:cb48.167r,334,"Codex Bodmer 48, folio 167, verso"
urn:cite:hcmid:cb48.168r,335,"Codex Bodmer 48, folio 168, recto"
urn:cite:hcmid:cb48.168r,336,"Codex Bodmer 48, folio 168, verso"
urn:cite:hcmid:cb48.169r,337,"Codex Bodmer 48, folio 169, recto"
urn:cite:hcmid:cb48.169r,338,"Codex Bodmer 48, folio 169, verso"
urn:cite:hcmid:cb48.170r,339,"Codex Bodmer 48, folio 170, recto"
urn:cite:hcmid:cb48.170r,340,"Codex Bodmer 48, folio 170, verso"
urn:cite:hcmid:cb48.171r,341,"Codex Bodmer 48, folio 171, recto"
urn:cite:hcmid:cb48.171r,342,"Codex Bodmer 48, folio 171, verso"
urn:cite:hcmid:cb48.172r,343,"Codex Bodmer 48, folio 172, recto"
urn:cite:hcmid:cb48.172r,344,"Codex Bodmer 48, folio 172, verso"
urn:cite:hcmid:cb48.173r,345,"Codex Bodmer 48, folio 173, recto"
urn:cite:hcmid:cb48.173r,346,"Codex Bodmer 48, folio 173, verso"
urn:cite:hcmid:cb48.174r,347,"Codex Bodmer 48, folio 174, recto"
urn:cite:hcmid:cb48.174r,348,"Codex Bodmer 48, folio 174, verso"
urn:cite:hcmid:cb48.175r,349,"Codex Bodmer 48, folio 175, recto"
urn:cite:hcmid:cb48.175r,350,"Codex Bodmer 48, folio 175, verso"
urn:cite:hcmid:cb48.176r,351,"Codex Bodmer 48, folio 176, recto"
urn:cite:hcmid:cb48.176r,352,"Codex Bodmer 48, folio 176, verso"
urn:cite:hcmid:cb48.177r,353,"Codex Bodmer 48, folio 177, recto"
urn:cite:hcmid:cb48.177r,354,"Codex Bodmer 48, folio 177, verso"
urn:cite:hcmid:cb48.178r,355,"Codex Bodmer 48, folio 178, recto"
urn:cite:hcmid:cb48.178r,356,"Codex Bodmer 48, folio 178, verso"
urn:cite:hcmid:cb48.179r,357,"Codex Bodmer 48, folio 179, recto"
urn:cite:hcmid:cb48.179r,358,"Codex Bodmer 48, folio 179, verso"
urn:cite:hcmid:cb48.180r,359,"Codex Bodmer 48, folio 180, recto"
urn:cite:hcmid:cb48.180r,360,"Codex Bodmer 48, folio 180, verso"
urn:cite:hcmid:cb48.181r,361,"Codex Bodmer 48, folio 181, recto"
urn:cite:hcmid:cb48.181r,362,"Codex Bodmer 48, folio 181, verso"
urn:cite:hcmid:cb48.182r,363,"Codex Bodmer 48, folio 182, recto"
urn:cite:hcmid:cb48.182r,364,"Codex Bodmer 48, folio 182, verso"
urn:cite:hcmid:cb48.183r,365,"Codex Bodmer 48, folio 183, recto"
urn:cite:hcmid:cb48.183r,366,"Codex Bodmer 48, folio 183, verso"
urn:cite:hcmid:cb48.184r,367,"Codex Bodmer 48, folio 184, recto"
urn:cite:hcmid:cb48.184r,368,"Codex Bodmer 48, folio 184, verso"
urn:cite:hcmid:cb48.185r,369,"Codex Bodmer 48, folio 185, recto"
urn:cite:hcmid:cb48.185r,370,"Codex Bodmer 48, folio 185, verso"
urn:cite:hcmid:cb48.186r,371,"Codex Bodmer 48, folio 186, recto"
urn:cite:hcmid:cb48.186r,372,"Codex Bodmer 48, folio 186, verso"
urn:cite:hcmid:cb48.187r,373,"Codex Bodmer 48, folio 187, recto"
urn:cite:hcmid:cb48.187r,374,"Codex Bodmer 48, folio 187, verso"
urn:cite:hcmid:cb48.188r,375,"Codex Bodmer 48, folio 188, recto"
urn:cite:hcmid:cb48.188r,376,"Codex Bodmer 48, folio 188, verso"
urn:cite:hcmid:cb48.189r,377,"Codex Bodmer 48, folio 189, recto"
urn:cite:hcmid:cb48.189r,378,"Codex Bodmer 48, folio 189, verso"
urn:cite:hcmid:cb48.190r,379,"Codex Bodmer 48, folio 190, recto"
urn:cite:hcmid:cb48.190r,380,"Codex Bodmer 48, folio 190, verso"
urn:cite:hcmid:cb48.191r,381,"Codex Bodmer 48, folio 191, recto"
urn:cite:hcmid:cb48.191r,382,"Codex Bodmer 48, folio 191, verso"
urn:cite:hcmid:cb48.192r,383,"Codex Bodmer 48, folio 192, recto"
urn:cite:hcmid:cb48.192r,384,"Codex Bodmer 48, folio 192, verso"
urn:cite:hcmid:cb48.193r,385,"Codex Bodmer 48, folio 193, recto"
urn:cite:hcmid:cb48.193r,386,"Codex Bodmer 48, folio 193, verso"
urn:cite:hcmid:cb48.194r,387,"Codex Bodmer 48, folio 194, recto"
urn:cite:hcmid:cb48.194r,388,"Codex Bodmer 48, folio 194, verso"
urn:cite:hcmid:cb48.195r,389,"Codex Bodmer 48, folio 195, recto"
urn:cite:hcmid:cb48.195r,390,"Codex Bodmer 48, folio 195, verso"
urn:cite:hcmid:cb48.196r,391,"Codex Bodmer 48, folio 196, recto"
urn:cite:hcmid:cb48.196r,392,"Codex Bodmer 48, folio 196, verso"
urn:cite:hcmid:cb48.197r,393,"Codex Bodmer 48, folio 197, recto"
urn:cite:hcmid:cb48.197r,394,"Codex Bodmer 48, folio 197, verso"
urn:cite:hcmid:cb48.198r,395,"Codex Bodmer 48, folio 198, recto"
urn:cite:hcmid:cb48.198r,396,"Codex Bodmer 48, folio 198, verso"
urn:cite:hcmid:cb48.199r,397,"Codex Bodmer 48, folio 199, recto"
urn:cite:hcmid:cb48.199r,398,"Codex Bodmer 48, folio 199, verso"
urn:cite:hcmid:cb48.200r,399,"Codex Bodmer 48, folio 200, recto"
urn:cite:hcmid:cb48.200r,400,"Codex Bodmer 48, folio 200, verso"
urn:cite:hcmid:cb48.201r,401,"Codex Bodmer 48, folio 201, recto"
urn:cite:hcmid:cb48.201r,402,"Codex Bodmer 48, folio 201, verso"
urn:cite:hcmid:cb48.202r,403,"Codex Bodmer 48, folio 202, recto"
urn:cite:hcmid:cb48.202r,404,"Codex Bodmer 48, folio 202, verso"
urn:cite:hcmid:cb48.203r,405,"Codex Bodmer 48, folio 203, recto"
urn:cite:hcmid:cb48.203r,406,"Codex Bodmer 48, folio 203, verso"
urn:cite:hcmid:cb48.204r,407,"Codex Bodmer 48, folio 204, recto"
urn:cite:hcmid:cb48.204r,408,"Codex Bodmer 48, folio 204, verso"
urn:cite:hcmid:cb48.205r,409,"Codex Bodmer 48, folio 205, recto"
urn:cite:hcmid:cb48.205r,410,"Codex Bodmer 48, folio 205, verso"
urn:cite:hcmid:cb48.206r,411,"Codex Bodmer 48, folio 206, recto"
urn:cite:hcmid:cb48.206r,412,"Codex Bodmer 48, folio 206, verso"
urn:cite:hcmid:cb48.207r,413,"Codex Bodmer 48, folio 207, recto"
urn:cite:hcmid:cb48.207r,414,"Codex Bodmer 48, folio 207, verso"
urn:cite:hcmid:cb48.208r,415,"Codex Bodmer 48, folio 208, recto"
urn:cite:hcmid:cb48.208r,416,"Codex Bodmer 48, folio 208, verso"
urn:cite:hcmid:cb48.209r,417,"Codex Bodmer 48, folio 209, recto"
urn:cite:hcmid:cb48.209r,418,"Codex Bodmer 48, folio 209, verso"
urn:cite:hcmid:cb48.210r,419,"Codex Bodmer 48, folio 210, recto"
urn:cite:hcmid:cb48.210r,420,"Codex Bodmer 48, folio 210, verso"
urn:cite:hcmid:cb48.211r,421,"Codex Bodmer 48, folio 211, recto"
urn:cite:hcmid:cb48.211r,422,"Codex Bodmer 48, folio 211, verso"
urn:cite:hcmid:cb48.212r,423,"Codex Bodmer 48, folio 212, recto"
urn:cite:hcmid:cb48.212r,424,"Codex Bodmer 48, folio 212, verso"
urn:cite:hcmid:cb48.213r,425,"Codex Bodmer 48, folio 213, recto"
urn:cite:hcmid:cb48.213r,426,"Codex Bodmer 48, folio 213, verso"
urn:cite:hcmid:cb48.214r,427,"Codex Bodmer 48, folio 214, recto"
urn:cite:hcmid:cb48.214r,428,"Codex Bodmer 48, folio 214, verso"
urn:cite:hcmid:cb48.215r,429,"Codex Bodmer 48, folio 215, recto"
urn:cite:hcmid:cb48.215r,430,"Codex Bodmer 48, folio 215, verso"
urn:cite:hcmid:cb48.216r,431,"Codex Bodmer 48, folio 216, recto"
urn:cite:hcmid:cb48.216r,432,"Codex Bodmer 48, folio 216, verso"
urn:cite:hcmid:cb48.217r,433,"Codex Bodmer 48, folio 217, recto"
urn:cite:hcmid:cb48.217r,434,"Codex Bodmer 48, folio 217, verso"
urn:cite:hcmid:cb48.218r,435,"Codex Bodmer 48, folio 218, recto"
urn:cite:hcmid:cb48.218r,436,"Codex Bodmer 48, folio 218, verso"
urn:cite:hcmid:cb48.219r,437,"Codex Bodmer 48, folio 219, recto"
urn:cite:hcmid:cb48.219r,438,"Codex Bodmer 48, folio 219, verso"
urn:cite:hcmid:cb48.220r,439,"Codex Bodmer 48, folio 220, recto"
urn:cite:hcmid:cb48.220r,440,"Codex Bodmer 48, folio 220, verso"
urn:cite:hcmid:cb48.221r,441,"Codex Bodmer 48, folio 221, recto"
urn:cite:hcmid:cb48.221r,442,"Codex Bodmer 48, folio 221, verso"
urn:cite:hcmid:cb48.222r,443,"Codex Bodmer 48, folio 222, recto"
urn:cite:hcmid:cb48.222r,444,"Codex Bodmer 48, folio 222, verso"
urn:cite:hcmid:cb48.223r,445,"Codex Bodmer 48, folio 223, recto"
urn:cite:hcmid:cb48.223r,446,"Codex Bodmer 48, folio 223, verso"
urn:cite:hcmid:cb48.224r,447,"Codex Bodmer 48, folio 224, recto"
urn:cite:hcmid:cb48.224r,448,"Codex Bodmer 48, folio 224, verso"
urn:cite:hcmid:cb48.225r,449,"Codex Bodmer 48, folio 225, recto"
urn:cite:hcmid:cb48.225r,450,"Codex Bodmer 48, folio 225, verso"
urn:cite:hcmid:cb48.226r,451,"Codex Bodmer 48, folio 226, recto"
urn:cite:hcmid:cb48.226r,452,"Codex Bodmer 48, folio 226, verso"
urn:cite:hcmid:cb48.227r,453,"Codex Bodmer 48, folio 227, recto"
urn:cite:hcmid:cb48.227r,454,"Codex Bodmer 48, folio 227, verso"
urn:cite:hcmid:cb48.228r,455,"Codex Bodmer 48, folio 228, recto"
urn:cite:hcmid:cb48.228r,456,"Codex Bodmer 48, folio 228, verso"
urn:cite:hcmid:cb48.229r,457,"Codex Bodmer 48, folio 229, recto"
urn:cite:hcmid:cb48.229r,458,"Codex Bodmer 48, folio 229, verso"
urn:cite:hcmid:cb48.230r,459,"Codex Bodmer 48, folio 230, recto"
urn:cite:hcmid:cb48.230r,460,"Codex Bodmer 48, folio 230, verso"
urn:cite:hcmid:cb48.231r,461,"Codex Bodmer 48, folio 231, recto"
urn:cite:hcmid:cb48.231r,462,"Codex Bodmer 48, folio 231, verso"
urn:cite:hcmid:cb48.232r,463,"Codex Bodmer 48, folio 232, recto"
urn:cite:hcmid:cb48.232r,464,"Codex Bodmer 48, folio 232, verso"
urn:cite:hcmid:cb48.233r,465,"Codex Bodmer 48, folio 233, recto"
urn:cite:hcmid:cb48.233r,466,"Codex Bodmer 48, folio 233, verso"
urn:cite:hcmid:cb48.234r,467,"Codex Bodmer 48, folio 234, recto"
urn:cite:hcmid:cb48.234r,468,"Codex Bodmer 48, folio 234, verso"
urn:cite:hcmid:cb48.235r,469,"Codex Bodmer 48, folio 235, recto"
urn:cite:hcmid:cb48.235r,470,"Codex Bodmer 48, folio 235, verso"
urn:cite:hcmid:cb48.236r,471,"Codex Bodmer 48, folio 236, recto"
urn:cite:hcmid:cb48.236r,472,"Codex Bodmer 48, folio 236, verso"
urn:cite:hcmid:cb48.237r,473,"Codex Bodmer 48, folio 237, recto"
urn:cite:hcmid:cb48.237r,474,"Codex Bodmer 48, folio 237, verso"
urn:cite:hcmid:cb48.238r,475,"Codex Bodmer 48, folio 238, recto"
urn:cite:hcmid:cb48.238r,476,"Codex Bodmer 48, folio 238, verso"
urn:cite:hcmid:cb48.239r,477,"Codex Bodmer 48, folio 239, recto"
urn:cite:hcmid:cb48.239r,478,"Codex Bodmer 48, folio 239, verso"
urn:cite:hcmid:cb48.240r,479,"Codex Bodmer 48, folio 240, recto"
urn:cite:hcmid:cb48.240r,480,"Codex Bodmer 48, folio 240, verso"
urn:cite:hcmid:cb48.241r,481,"Codex Bodmer 48, folio 241, recto"
urn:cite:hcmid:cb48.241r,482,"Codex Bodmer 48, folio 241, verso"
urn:cite:hcmid:cb48.242r,483,"Codex Bodmer 48, folio 242, recto"
urn:cite:hcmid:cb48.242r,484,"Codex Bodmer 48, folio 242, verso"
urn:cite:hcmid:cb48.243r,485,"Codex Bodmer 48, folio 243, recto"
urn:cite:hcmid:cb48.243r,486,"Codex Bodmer 48, folio 243, verso"
urn:cite:hcmid:cb48.244r,487,"Codex Bodmer 48, folio 244, recto"
urn:cite:hcmid:cb48.244r,488,"Codex Bodmer 48, folio 244, verso"
urn:cite:hcmid:cb48.245r,489,"Codex Bodmer 48, folio 245, recto"
urn:cite:hcmid:cb48.245r,490,"Codex Bodmer 48, folio 245, verso"
urn:cite:hcmid:cb48.246r,491,"Codex Bodmer 48, folio 246, recto"
urn:cite:hcmid:cb48.246r,492,"Codex Bodmer 48, folio 246, verso"
urn:cite:hcmid:cb48.247r,493,"Codex Bodmer 48, folio 247, recto"
urn:cite:hcmid:cb48.247r,494,"Codex Bodmer 48, folio 247, verso"
